Player,Pos,AV,From,To
Delvin Joyce\JoycDe00,RB,0,2002,2003
Delvin Williams\WillDe01,RB,63,1974,1981
DeMarco Murray\MurrDe00,RB,70,2011,2017
Demitrius Bronson\BronDe00,RB,,2014,2014
Dennis Bligen\BligDe00,RB,4,1984,1987
Dennis Johnson\JohnDe02,RB,1,2013,2013
Dennis Lundy\LundDe20,RB,0,1995,1995
Dennis Morgan\MorgDe00,RB,1,1974,1975
Dennis Smith\SmitDe20,RB,0,1990,1990
Deon Strother\StroDe20,RB,0,1994,1994
Derek Brown\BrowDe01,RB,18,1993,1996
Derek Loville\LoviDe00,RB,20,1990,1999
Derrick Blaylock\BlayDe00,RB,12,2002,2006
Derrick Clark\ClarDe01,RB,2,1994,1994
Derrick Coleman\ColeDe00,RB,1,2012,2018
Derrick Cullors\CullDe00,RB,4,1997,1998
Derrick Douglas\DougDe20,RB,0,1991,1991
Derrick Fenner\FennDe00,RB,34,1989,1997
Derrick Foster\FostDe20,RB,0,1987,1987
Derrick Gainer\GainDe00,RB,2,1990,1993
Derrick Harmon\HarmDe00,RB,5,1984,1986
Derrick Harris\HarrDe00,RB,1,1996,2001
Derrick Henry\HenrDe00,RB,29,2016,2019
Derrick Lassic\LassDe00,RB,3,1993,1993
Derrick McAdoo\McAdDe00,RB,2,1987,1988
Derrick Moore\MoorDe00,RB,10,1993,1995
Derrick Ross\RossDe00,RB,0,2006,2006
Derrick Thomas\ThomDe21,RB,0,1987,1987
Derrick Ward\WardDe01,RB,27,2004,2011
Derrick Wimbush\WimbDe00,RB,1,2005,2006
Derrick Witherspoon\WithDe20,RB,3,1995,1997
Derrius Guice\GuicDe00,RB,2,2019,2019
DeShaun Foster\FostDe00,RB,34,2003,2008
DeShawn Wynn\WynnDe00,RB,3,2007,2010
Detrez Newsome\NewsDe00,RB,1,2018,2018
Detron Smith\SmitDe00,RB,1,1996,2003
Deuce McAllister\McAlDe00,RB,61,2001,2008
Devante Mays\MaysDe00,RB,0,2017,2017
Devin Moore\MoorDe01,RB,0,2010,2012
Devin Singletary\SingDe00,RB,6,2019,2019
Devine Ozigbo\OzigDe01,RB,0,2019,2019
Devonta Freeman\FreeDe00,RB,47,2014,2019
Devontae Booker\BookDe00,RB,12,2016,2019
Dewell Brewer\BrewDe20,RB,1,1994,1994
Dexter Bussey\BussDe00,RB,54,1974,1984
Dexter Carter\CartDe00,RB,20,1990,1996
Dexter Williams\WillDe07,RB,0,2019,2019
Dick Davis\DaviDi00,RB,1,1970,1970
Dickie Post\PostDi00,RB,31,1967,1971
Dimitri Nance\NancDi00,RB,1,2010,2010
Dino Hall\HallDi00,RB,2,1979,1983
Dino Philyaw\PhilDi00,RB,1,1995,1999
Dion Lewis\LewiDi00,RB,31,2011,2019
Domanick Williams\DaviDo01,RB,34,2003,2005
Dominic Rhodes\RhodDo00,RB,40,2001,2010
Dominique Ross\RossDo20,RB,0,1995,1996
Dominique Williams\WillDo03,RB,,2014,2014
Don Calhoun\CalhDo00,RB,38,1974,1982
Don Goodman\GoodDo21,RB,0,1987,1987
Don Hardeman\HardDo00,RB,13,1975,1979
Don Heater\HeatDo20,RB,0,1972,1972
Don Highsmith\HighDo00,RB,6,1970,1973
Don Jackson\JackDo01,RB,0,2016,2016
Don McCall\McCaDo01,RB,11,1967,1970
Don McCauley\McCaDo00,RB,55,1971,1981
Don Nottingham\NottDo00,RB,31,1971,1977
Don Overton\OverDo20,RB,1,1990,1992
Don Shy\ShyxDo00,RB,23,1967,1973
Don Testerman\TestDo00,RB,15,1976,1980
Don Woods\WoodDo00,RB,38,1974,1980
Donald Brown\BrowDo00,RB,28,2009,2015
Donald Jordan\JordDo20,RB,1,1984,1984
Donnell Bennett\BennDo00,RB,15,1994,2001
Donnie Craft\CrafDo00,RB,6,1982,1984
Donnie Joe Morris\MorrDo20,RB,0,1974,1974
Donny Anderson\AndeDo00,RB,81,1966,1974
Dontrell Hilliard\HillDo00,RB,2,2018,2019
Dorsey Levens\LeveDo00,RB,62,1994,2004
Dou Innocent\InnoDo20,RB,0,1996,1996
Doug Chapman\ChapDo00,RB,3,2001,2003
Doug Cunningham\CunnDo00,RB,26,1967,1974
Doug Dennison\DennDo00,RB,12,1974,1978
Doug Dressler\DresDo00,RB,18,1970,1975
Doug DuBose\DuboDo00,RB,2,1987,1988
Doug Easlick\EaslDo20,RB,0,2004,2004
Doug Goodwin\GoodDo22,RB,0,1966,1968
Doug Kotar\KotaDo00,RB,33,1974,1981
Doug Lloyd\LloyDo20,RB,0,1991,1991
Doug Martin\MartDo00,RB,43,2012,2018
Doug Paschal\PascDo00,RB,1,1980,1980
Dreamius Smith\SmitDr02,RB,0,2015,2015
Duane Thomas\ThomDu00,RB,24,1970,1974
Duce Staley\StalDu00,RB,60,1997,2006
DuJuan Harris\HarrDu01,RB,5,2011,2016
Duke Johnson\JohnDu00,RB,27,2015,2019
Dusty McGrorty\McGrDu20,RB,0,2004,2004
Dwayne Crutchfield\CrutDw00,RB,7,1982,1984
Dwayne Washington\WashDw00,RB,4,2016,2019
Dwayne Wright\WrigDw01,RB,1,2007,2007
Dwight Beverly\BeveDw20,RB,2,1987,1987
Dwight Garner\GarnDw20,RB,0,1986,1986
Dwight Lee\LeexDw00,RB,0,1968,1968
Dwone Hicks\HickDw20,RB,0,2003,2003
E.J. Jones\JoneE.20,RB,0,1985,1987
Earl Beecham\BeecEa20,RB,0,1987,1987
Earl Campbell+\CampEa00,RB,78,1978,1985
Earl Carr\CarrEa20,RB,0,1978,1979
Earl Denny\DennEa00,RB,0,1967,1968
Earl Ferrell\FerrEa00,RB,33,1982,1989
Earl Gant\GantEa00,RB,3,1979,1980
Earnest Byner\ByneEa00,RB,106,1984,1997
Earnest Graham\GrahEa00,RB,20,2004,2011
Earnest Hunter\HuntEa00,RB,2,1995,1996
Earnest Jackson\JackEa00,RB,33,1983,1988
Ed Jenkins\JenkEd00,RB,0,1972,1974
Ed Marinaro\MariEd00,RB,26,1972,1977
Ed Podolak\PodoEd00,RB,63,1969,1977
Ed Stansbury\StanEd20,RB,0,2002,2002
Ed Toner\ToneEd21,RB,0,1992,1994
Ed Williams\WillEd01,RB,9,1974,1977
Eddie Fuller\FullEd20,RB,0,1991,1993
Eddie George\GeorEd00,RB,91,1996,2004
Eddie Hicks\HickEd20,RB,0,1979,1980
Eddie Hill\HillEd00,RB,5,1979,1984
Eddie Hunter\HuntEd20,RB,2,1987,1987
Eddie Lacy\LacyEd00,RB,38,2013,2017
Eddie Lee Ivery\IverEd00,RB,37,1979,1986
Eddie Moss\MossEd00,RB,0,1973,1977
Eddie Payton\PaytEd00,RB,3,1977,1982
Eddie Watson\WatsEd00,RB,0,1999,1999
Eddie Williams\WillEd00,RB,0,2011,2012
Edgar Bennett\BennEd00,RB,53,1992,1999
Edgerrin James+\JameEd00,RB,136,1999,2009
Edwin Baker\BakeEd01,RB,1,2012,2014
Eldra Buckley\BuckEl00,RB,1,2009,2011
Elgin Davis\DaviEl20,RB,0,1987,1988
Elijah Hood\HoodEl00,RB,0,2017,2017
Elijah McGuire\McGuEl00,RB,6,2017,2018
Elijhaa Penny\PennEl00,RB,2,2017,2019
Elliott Walker\WalkEl20,RB,0,1978,1978
Elroy Harris\HarrEl21,RB,0,1989,1989
Elton Veals\VealEl00,RB,1,1984,1984
Elvis Joseph\JoseEl00,RB,5,2001,2002
Elvis Peacock\PeacEl00,RB,10,1979,1981
Emerson Boozer\BoozEm00,RB,65,1966,1975
Emmitt Smith+\SmitEm00,RB,170,1990,2004
Eric Ball\BallEr00,RB,5,1989,1995
Eric Bieniemy\BienEr00,RB,26,1991,1999
Eric Cobble\CobbEr20,RB,0,1987,1987
Eric Dickerson+\DickEr00,RB,110,1983,1993
Eric Kettani\KettEr00,RB,0,2012,2014
Eric Lane\LaneEr00,RB,6,1981,1987
Eric Lane\LaneEr20,RB,0,1997,1997
Eric Lynch\LyncEr00,RB,2,1992,1996
Eric McCoo\McCoEr00,RB,1,2004,2004
Eric Shelton\ShelEr00,RB,0,2006,2006
Eric Torkelson\TorkEr00,RB,14,1974,1981
Erik Bickerstaff\BickEr00,RB,0,2003,2003
Ernie Thompson\ThomEr00,RB,1,1991,1993
Ernie Wheelwright\WheeEr00,RB,17,1964,1970
Erric Pegram\PegrEr00,RB,31,1991,1997
Errict Rhett\RhetEr00,RB,29,1994,2000
Essex Johnson\JohnEs00,RB,49,1968,1976
Estes Banks\BankEs00,RB,1,1967,1968
Evan Royster\RoysEv00,RB,4,2011,2013
Ezekiel Elliott\ElliEz00,RB,52,2016,2019
Felix Jones\JoneFe00,RB,30,2008,2013
Fitzgerald Toussaint\TousFi00,RB,1,2014,2017
Floyd Little+\LittFl00,RB,83,1967,1975
Fozzy Whittaker\WhitFo00,RB,8,2012,2017
Fran Lynch\LyncFr00,RB,12,1967,1975
Franco Harris+\HarrFr00,RB,134,1972,1984
Frank Aschenbrenner\AschFr20,RB,,1949,1949
Frank Bianchini\BianFr20,RB,0,1987,1987
Frank Cephous\CephFr20,RB,0,1984,1984
Frank Gore\GoreFr00,RB,129,2005,2019
Frank Harris\HarrFr20,RB,0,1987,1987
Frank Harvey\HarvFr20,RB,0,1994,1994
Frank Hawkins\HawkFr00,RB,17,1981,1987
Frank Middleton\MiddFr00,RB,4,1984,1987
Frank Moreau\MoreFr00,RB,1,2000,2001
Frank Pollard\PollFr00,RB,37,1980,1988
Frank Quayle\QuayFr00,RB,3,1969,1969
Frank Summers\SummFr00,RB,1,2009,2014
Fred Jackson\JackFr02,RB,57,2007,2015
Fred Lane\LaneFr00,RB,17,1997,1999
Fred McAfee\McAfFr00,RB,10,1991,2006
Fred Taylor\TaylFr00,RB,110,1998,2010
Fred Willis\WillFr00,RB,36,1971,1976
Freddie Bradley\BradFr00,RB,1,1996,1996
Freddie Parker\ParkFr21,RB,0,1987,1987
Freeman McNeil\McNeFr00,RB,96,1981,1992
Gale Sayers+\SayeGa00,RB,64,1965,1971
Garland Jean-Batiste\JeanGa20,RB,0,1987,1987
Garrett Ford\FordGa00,RB,2,1968,1968
Garrett Limbrick\LimbGa20,RB,0,1990,1990
Garrett Wolfe\WolfGa00,RB,2,2007,2010
Garrison Hearst\HearGa00,RB,82,1993,2004
Garry James\JameGa00,RB,18,1986,1988
Gartrell Johnson\JohnGa01,RB,0,2009,2010
Gary Allen\AlleGa20,RB,1,1982,1984
Gary Anderson\AndeGa00,RB,48,1985,1993
Gary Brown\BrowGa00,RB,30,1991,1999
Gary Davis\DaviGa00,RB,25,1976,1981
Gary Downs\DownGa00,RB,1,1994,2000
Gary Ellerson\ElleGa00,RB,6,1985,1987
Gary Hayman\HaymGa00,RB,0,1974,1975
Gary Kosins\KosiGa00,RB,1,1972,1974
Gary Lewis\LewiGa01,RB,16,1964,1970
Gary McDermott\McDeGa00,RB,2,1968,1969
Gary Russell\RussGa00,RB,1,2007,2009
Gary Tucker\TuckGa00,RB,0,1968,1968
Gaston Green\GreeGa00,RB,17,1988,1992
Gene Donaldson\DonaGe00,RB,0,1967,1967
Gene Foster\FostGe00,RB,23,1965,1970
Gene Lang\LangGe00,RB,19,1984,1990
Gene Moore\MoorGe00,RB,0,1969,1969
Gene Thomas\ThomGe01,RB,6,1966,1968
George Adams\AdamGe00,RB,13,1985,1991
George Amundson\AmunGe00,RB,4,1973,1975
George Atkinson\AtkiGe01,RB,0,2014,2016
George Farmer\FarmGe02,RB,0,2016,2016
George Franklin\FranGe00,RB,0,1978,1978
George Jones\JoneGe00,RB,4,1997,1999
George Layne\LaynGe00,RB,0,2001,2004
George Nock\NockGe00,RB,7,1969,1972
George Peoples\PeopGe20,RB,0,1982,1985
George Rogers\RogeGe00,RB,52,1981,1987
George Swarn\SwarGe20,RB,0,1987,1987
George Winn\WinnGe00,RB,0,2014,2015
George Wonsley\WonsGe00,RB,11,1984,1989
Gerald Riggs\RiggGe00,RB,65,1982,1991
Gerald White\WhitGe22,RB,0,1987,1987
Gerald Willhite\WillGe00,RB,29,1982,1988
Gerry Allen\AlleJe00,RB,9,1966,1969
Gerry Ellis\ElliGe00,RB,49,1980,1986
Gilbert Harris\HarrGi00,RB,0,2007,2007
Gill Fenerty\FeneGi00,RB,10,1990,1991
Giovani Bernard\BernGi00,RB,42,2013,2019
Glen Bonner\BonnGl00,RB,3,1974,1975
Glen Coffee\CoffGl00,RB,2,2009,2009
Glenn Ellison\ElliGl20,RB,0,1971,1971
Glenn Winston\WinsGl00,RB,0,2014,2015
Glynn Harrison\HarrGl00,RB,0,1976,1976
Gordon Bell\BellGo00,RB,4,1976,1978
Gordon Brown\BrowGo20,RB,1,1987,1987
Greg Allen\AlleGr21,RB,0,1985,1986
Greg Bell\BellGr00,RB,41,1984,1990
Greg Boone\BoonGr20,RB,0,1987,1987
Greg Boykin\BoykGr00,RB,3,1977,1978
Greg Hill\HillGr00,RB,26,1994,1999
Greg Jones\JoneGr00,RB,3,1970,1971
Greg Jones\JoneGr01,RB,10,2004,2013
Greg Lewis\LewiGr00,RB,5,1991,1992
Greg Oliver\OlivGr00,RB,0,1973,1974
Greg Paterra\PateGr20,RB,1,1989,1989
Greg Pruitt\PruiGr00,RB,81,1973,1984
Greg Robinson\RobiGr00,RB,7,1993,1996
Greg Taylor\TaylGr20,RB,0,1982,1982
Gus Edwards\EdwaGu00,RB,11,2018,2019
Hank Bauer\BaueHa00,RB,3,1977,1982
Hank Bjorklund\BjorHa00,RB,3,1972,1974
Harlan Huckleby\HuckHa00,RB,9,1980,1985
Harmon Wages\WageHa00,RB,21,1968,1973
Harold Green\GreeHa00,RB,45,1990,1998
Harold Hart\HartHa00,RB,6,1974,1978
Harold Ricks\RickHa20,RB,1,1987,1987
Harold Shaw\ShawHa00,RB,0,1998,2000
Harry Jones\JoneHa01,RB,2,1967,1970
Harry Sydney\SydnHa00,RB,13,1987,1992
Harry Wilson\WilsHa00,RB,0,1967,1970
Harvey Unga\UngaHa00,RB,0,2012,2012
Harvey Williams\WillHa00,RB,38,1991,1998
Haskel Stanback\StanHa00,RB,23,1974,1979
Heath Sherman\SherHe00,RB,21,1989,1993
Henry Dyer\DyerHe00,RB,5,1966,1970
Henry Hynoski\HynoHe00,RB,1,1975,1975
Henry Jones\JoneHe20,RB,0,1969,1969
Henry Josey\JoseHe00,RB,,2014,2014
Henry Matthews\MattHe00,RB,0,1972,1973
Henry Odom\OdomHe20,RB,0,1983,1983
Herb Lusk\LuskHe01,RB,6,1976,1978
Herb Mul-Key\Mul-He00,RB,4,1972,1974
Herbert Goodman\GoodHe00,RB,0,2000,2001
Herman Fontenot\FontHe00,RB,16,1985,1990
Herman Heard\HearHe00,RB,27,1984,1989
Herman Hunter\HuntHe00,RB,7,1985,1987
Herschel Walker\WalkHe00,RB,98,1986,1997
Hokie Gajan\GajaHo00,RB,14,1982,1985
Horace Belton\BeltHo00,RB,6,1978,1980
Horace Ivory\IvorHo00,RB,17,1977,1982
Horace King\KingHo00,RB,32,1975,1983
Howard Griffith\GrifHo00,RB,9,1993,2000
Howard Stevens\StevHo00,RB,3,1973,1977
Hoyle Granger\GranHo00,RB,43,1966,1972
Hub Lindsey\LindHu00,RB,0,1968,1968
Hubert Ginn\GinnHu00,RB,6,1970,1978
Hubie Oliver\OlivHu00,RB,12,1981,1986
Hugh McKinnis\McKiHu00,RB,13,1973,1976
I.M. Hipp\HippI.00,RB,0,1980,1980
Ian Smart\SmarIa00,RB,0,2004,2004
Ickey Woods\WoodIc00,RB,19,1988,1991
Ike Forte\FortIk00,RB,9,1976,1981
Ira Valentine\ValeIr20,RB,0,1987,1987
Irving Spikes\SpikIr00,RB,8,1994,1997
Isaac Redman\RedmIs20,RB,9,2009,2013
Isaiah Crowell\CrowIs00,RB,25,2014,2018
Isaiah Pead\PeadIs00,RB,1,2012,2016
Ito Smith\SmitIt00,RB,4,2018,2019
Ivory Lee Brown\BrowIv00,RB,2,1992,1992
Ivy Joe Hunter\HuntIv00,RB,1,1989,1991
Izzy Lang\LangIz00,RB,15,1964,1969
J.D. Runnels\RunnJ.00,RB,0,2006,2006
J.J. Arrington\ArriJ.00,RB,12,2005,2008
J.J. Johnson\JohnJ.00,RB,7,1999,2001
J.R. Redmond\RedmJ.00,RB,9,2000,2004
Jack DeGrenier\DeGrJa00,RB,1,1974,1974
Jack Deloplaine\DeloJa00,RB,1,1976,1979
Jack Harper\HarpJa00,RB,4,1967,1968
Jack Holmes\HolmJa00,RB,7,1978,1982
Jack Maitland\MaitJa00,RB,4,1970,1972
Jack Rizzo\RizzJa00,RB,0,1973,1973
Jack Wender\WendJa20,RB,0,1977,1977
Jackie Battle\BattJa00,RB,7,2007,2014
Jacob Hester\HestJa00,RB,7,2008,2012
Jacquizz Rodgers\RodgJa00,RB,27,2011,2018
Jahvid Best\BestJa00,RB,13,2010,2012
Jaime Covington\CoviJa20,RB,0,1987,1987
Jairo Penaranda\PenaJa20,RB,0,1981,1985
Jalen Parmele\ParmJa00,RB,1,2008,2014
Jalen Richard\RichJa01,RB,18,2016,2019
Jamaal Branch\BranJa00,RB,0,2006,2007
Jamaal Charles\CharJa00,RB,72,2008,2018
Jamaal Williams\WillJa06,RB,16,2017,2019
Jamal Anderson\AndeJa00,RB,53,1994,2001
Jamal Lewis\LewiJa00,RB,83,2000,2009
Jamal Robertson\RobeJa00,RB,2,2002,2006
Jamal Willis\WillJa27,RB,0,1995,1995
Jamel White\WhitJa00,RB,18,2000,2005
James Allen\AlleJa00,RB,19,1998,2002
James Betterson\BettJa00,RB,3,1977,1978
James Black\BlacJa20,RB,0,1984,1984
James Bostic\BostJa00,RB,1,1998,1999
James Brooks\BrooJa00,RB,103,1981,1992
James Conner\ConnJa00,RB,16,2017,2019
James Davis\DaviJa03,RB,1,2009,2010
James Develin\DeveJa00,RB,3,2012,2019
James Evans\EvanJa22,RB,0,1987,1987
James Fenderson\FendJa00,RB,1,2001,2003
James Ford\FordJa00,RB,5,1971,1972
James Hadnot\HadnJa00,RB,13,1980,1983
James Jackson\JackJa00,RB,9,2001,2005
James Johnson\JohnJa02,RB,0,2008,2008
James Jones\JoneJa01,RB,4,1980,1985
James Joseph\JoseJa00,RB,11,1991,1995
James Lynch\LyncJa20,RB,0,2004,2004
James Mayberry\MaybJa00,RB,3,1979,1981
James McAlister\McAlJa00,RB,7,1975,1978
James Mungro\MungJa00,RB,5,2002,2005
James Primus\PrimJa00,RB,1,1988,1989
James Rouse\RousJa20,RB,1,1990,1991
James Sims\SimsJa00,RB,0,2006,2006
James Starks\StarJa00,RB,30,2010,2016
James Stewart\StewJa00,RB,52,1995,2002
James Stewart\StewJa20,RB,1,1995,1995
James White\WhitJa02,RB,36,2014,2019
James Wilder\WildJa00,RB,73,1981,1990
James Wilder\WildJa01,RB,,2014,2014
James Wofford\WoffJa20,RB,0,2002,2002
Jamie Harper\HarpJa01,RB,0,2011,2012
Jamie Lawson\LawsJa20,RB,0,1989,1990
Jamie Morris\MorrJa00,RB,6,1988,1990
Jamie Mueller\MuelJa00,RB,8,1987,1990
Jarmar Julien\JuliJa20,RB,0,2002,2002
Jarrett Payton\PaytJa00,RB,1,2005,2005
Jarryd Hayne\HaynJa00,RB,0,2015,2015
Jarvis Redwine\RedwJa00,RB,0,1981,1983
Jason Anderson\AndeJa02,RB,0,2005,2005
Jason Bratton\BratJa20,RB,0,1996,1996
Jason Brookins\BrooJa01,RB,4,2001,2001
Jason Burns\BurnJa20,RB,0,1995,1995
Jason Davis\DaviJa00,RB,0,2008,2008
Jason Snelling\SnelJa00,RB,23,2007,2013
Jason Wright\WrigJa01,RB,10,2004,2010
Javarris James\JameJa00,RB,1,2010,2012
Javarris Williams\WillJa05,RB,0,2009,2012
Javon Ringer\RingJa00,RB,4,2009,2012
Javorius Allen\AlleJa01,RB,14,2015,2019
Jay Ajayi\AjayJa00,RB,20,2015,2019
Jay Graham\GrahJa00,RB,3,1997,2002
Jaylen Samuels\SamuJa00,RB,6,2018,2019
Jazz Jackson\JackJa02,RB,2,1974,1976
Jeff Alexander\AlexJe00,RB,2,1989,1992
Jeff Demps\DempJe00,RB,0,2012,2014
Jeff Jordan\JordJe00,RB,0,1970,1972
Jeff Kinney\KinnJe00,RB,15,1972,1976
Jeff Moore\MoorJe01,RB,19,1979,1984
Jeff Powell\PoweJe21,RB,0,1987,1987
Jeff Rodenberger\RodeJe20,RB,1,1987,1987
Jeff Smith\SmitJe00,RB,11,1985,1988
Jeff Stanciel\StanJe00,RB,0,1969,1969
Jeff Wilson\WilsJe01,RB,3,2018,2019
Jeff Womack\WomaJe20,RB,1,1987,1987
Jehuu Caulcrick\CaulJe00,RB,0,2010,2010
Jerald Moore\MoorJe00,RB,5,1996,2000
Jeremiah Johnson\JohnJe01,RB,1,2011,2012
Jeremy Hill\HillJe01,RB,22,2014,2018
Jeremy Langford\LangJe00,RB,8,2015,2018
Jeremy McNichols\McNiJe00,RB,0,2017,2019
Jerick McKinnon\McKiJe00,RB,22,2014,2017
Jerious Norwood\NorwJe00,RB,21,2006,2011
Jermaine Fazande\FazaJe00,RB,5,1999,2000
Jermaine Williams\WillJe00,RB,0,1998,2001
Jerome Bettis+\BettJe00,RB,102,1993,2005
Jerome Felton\FeltJe00,RB,3,2008,2016
Jerome Harrison\HarrJe00,RB,14,2006,2012
Jerome Johnson\JohnJe23,RB,0,2010,2010
Jerome Smith\SmitJe02,RB,0,2014,2014
Jerone Davison\DaviJe26,RB,0,1996,1997
Jerris McPhail\McPhJe00,RB,7,1996,1998
Jerry Aldridge\AldrJe20,RB,0,1980,1980
Jerry Butler\ButlJe21,RB,0,1987,1987
Jerry Eckwood\EckwJe00,RB,19,1979,1981
Jerry Ellison\ElliJe00,RB,4,1995,1999
Jerry Hill\HillJe00,RB,39,1961,1970
Jerry Latin\LatiJe00,RB,6,1975,1978
Jerry Mays\MaysJe20,RB,0,1990,1990
Jesse Chatman\ChatJe00,RB,10,2002,2008
Jesse Myles\MyleJe20,RB,1,1983,1984
Jesse Taylor\TaylJe00,RB,0,1972,1972
Jessie Clark\ClarJe00,RB,19,1983,1990
Jewel Hampton\HampJe00,RB,0,2012,2012
Jewerl Thomas\ThomJe01,RB,7,1980,1984
Jim Allison\AlliJi00,RB,6,1965,1968
Jim Bertelsen\BertJi00,RB,39,1972,1976
Jim Braxton\BraxJi00,RB,41,1971,1978
Jim Browne\BrowJi20,RB,0,1987,1987
Jim Brumfield\BrumJi20,RB,0,1971,1971
Jim Culbreath\CulbJi00,RB,1,1977,1980
Jim Earley\EarlJi20,RB,0,1978,1978
Jim Grabowski\GrabJi00,RB,21,1966,1971
Jim Harrison\HarrJi00,RB,11,1971,1974
Jim Hooks\HookJi00,RB,3,1973,1976
Jim Jodat\JodaJi00,RB,8,1977,1983
Jim Kiick\KiicJi00,RB,70,1968,1977
Jim Kitts\KittJi00,RB,0,1997,1998
Jim Lindsey\LindJi00,RB,13,1966,1972
Jim Mankins\MankJi00,RB,0,1967,1967
Jim Nance\NancJi00,RB,53,1965,1973
Jim Otis\OtisJi00,RB,42,1970,1978
Jim Strong\StroJi00,RB,7,1970,1972
Jim Van Wagner\VanWJa00,RB,0,1978,1978
Jim Walsh\WalsJi20,RB,0,1980,1980
Jim Williams\WillJi20,RB,0,1987,1987
Jimmie Jones\JoneJi00,RB,2,1974,1974
Jimmy DuBose\DuboJi00,RB,6,1976,1978
Jimmy Edwards\EdwaJi20,RB,0,1979,1979
Jimmy Hargrove\HargJi21,RB,1,1981,1987
Jimmy Jordan\JordJi20,RB,0,1967,1967
Jimmy Rogers\RogeJi00,RB,7,1980,1984
Jimmy Sidle\SidlJi00,RB,0,1966,1966
Jimmy Smith\SmitJi23,RB,0,1984,1987
Joe Aska\AskaJo00,RB,3,1995,1997
Joe Auer\AuerJo00,RB,12,1964,1968
Joe Banyard\BanyJo00,RB,1,2012,2017
Joe Burke\BurkJo20,RB,0,1987,1987
Joe Burns\BurnJo00,RB,2,2002,2005
Joe Carter\CartJo00,RB,6,1984,1986
Joe Chetti\ChetJo20,RB,0,1987,1987
Joe Cribbs\CribJo00,RB,60,1980,1988
Joe Dawkins\DawkJo00,RB,38,1970,1976
Joe Delaney\DelaJo00,RB,17,1981,1982
Joe Dudek\DudeJo20,RB,2,1987,1987
Joe McCall\McCaJo20,RB,0,1984,1984
Joe McIntosh\McInJo20,RB,0,1987,1987
Joe McKnight\McKnJo00,RB,7,2010,2014
Joe Mickles\MickJo21,RB,0,1989,1990
Joe Mixon\MixoJo00,RB,25,2017,2019
Joe Montgomery\MontJo00,RB,2,1999,2002
Joe Moore\MoorJo00,RB,3,1971,1973
Joe Morris\MorrJo00,RB,50,1982,1991
Joe Orduna\OrduJo00,RB,2,1972,1974
Joe Profit\ProfJo00,RB,5,1971,1973
Joe Washington\WashJo00,RB,67,1977,1985
Joe Washington\WashJo01,RB,0,1973,1973
Joe Williams\WillJo01,RB,2,1971,1972
Joe Wilson\WilsJo00,RB,1,1973,1974
Joey Harris\HarrJo01,RB,0,2004,2004
Joffrey Reynolds\ReynJo20,RB,0,2003,2003
John Avery\AverJo00,RB,4,1998,2003
John Brockington\BrocJo00,RB,60,1971,1977
John Cappelletti\CappJo00,RB,38,1974,1983
John Chirico\ChirJo20,RB,0,1987,1987
John Clay\ClayJo00,RB,0,2011,2011
John Conner\ConnJo00,RB,0,2010,2014
John Crockett\CrocJo00,RB,0,2015,2015
John Farley\FarlJo20,RB,0,1984,1984
John Fuqua\FuquJo00,RB,42,1969,1976
John Griffin\GrifJo00,RB,0,2012,2012
John Harvey\HarvJo00,RB,1,1990,1990
John Holifield\HoliJo20,RB,0,1989,1989
John Ivlow\IvloJo20,RB,0,1993,1993
John Kamana\KamaJo20,RB,0,1984,1987
John Kelly\KellJo00,RB,1,2018,2019
John Riggins+\RiggJo00,RB,121,1971,1985
John Settle\SettJo00,RB,18,1987,1990
John Simon\SimoJo00,RB,2,2002,2003
John Skibinski\SkibJo21,RB,1,1978,1981
John Stephens\StepJo00,RB,25,1988,1993
John Sterling\SterJo20,RB,0,1987,1987
John Tagliaferri\TaglJo20,RB,2,1987,1987
John Tarver\TarvJo00,RB,7,1972,1975
John Tuggle\TuggJo20,RB,1,1983,1983
John Williams\WillJo27,RB,0,1985,1987
