Player,Pos,AV,From,To
Johnathan Franklin\FranJo01,RB,1,2013,2013
Johnnie Wright\WrigJo21,RB,0,1982,1982
Johnny Bailey\BailJo00,RB,19,1990,1995
Johnny Davis\DaviJo01,RB,8,1978,1987
Johnny Hector\HectJo00,RB,46,1983,1992
Johnny Johnson\JohnJo00,RB,40,1990,1994
Johnny Musso\MussJo00,RB,3,1975,1977
Johnny Roland\RolaJo00,RB,46,1966,1973
Johnny Shepherd\ShepJo20,RB,0,1987,1987
Johnny White\WhitJo01,RB,0,2011,2012
Joique Bell\BellJo01,RB,26,2010,2016
Jon Francis\FranJo21,RB,1,1987,1987
Jon Hilliman\HillJo03,RB,1,2019,2019
Jon Keyworth\KeywJo00,RB,34,1974,1980
Jon Vaughn\VaugJo00,RB,10,1991,1994
Jon Williams\WillJo29,RB,0,1984,1984
Jon Witman\WitmJo00,RB,3,1996,2001
Jonas Gray\GrayJo00,RB,4,2012,2015
Jonathan Dwyer\DwyeJo00,RB,8,2010,2014
Jonathan Grimes\GrimJo01,RB,7,2012,2016
Jonathan Linton\LintJo00,RB,9,1998,2000
Jonathan Stewart\StewJo00,RB,59,2008,2018
Jonathan Wells\WellJo00,RB,10,2002,2005
Jonathan Williams\WillJo07,RB,3,2016,2019
Jordan Chunn\ChunJo00,RB,0,2019,2019
Jordan Howard\HowaJo00,RB,26,2016,2019
Jordan Scarlett\ScarJo00,RB,0,2019,2019
Jordan Todman\TodmJo00,RB,5,2011,2017
Jordan Wilkins\WilkJo01,RB,5,2018,2019
Joseph Addai\AddaJo00,RB,54,2006,2011
Joseph Randle\RandJo01,RB,7,2013,2015
Josh Adams\AdamJo03,RB,3,2018,2019
Josh Ashton\AshtJo00,RB,10,1972,1975
Josh Ferguson\FergJo02,RB,1,2016,2019
Josh Harris\HarrJo04,RB,0,2014,2014
Josh Jacobs\JacoJo01,RB,8,2019,2019
Josh Parry\ParrJo00,RB,2,2004,2006
Josh Robinson\RobiJo02,RB,0,2015,2015
Josh Scobey\ScobJo00,RB,3,2003,2007
Josh Vaughan\VaugJo01,RB,0,2010,2013
Julius Jones\JoneJu01,RB,43,2004,2010
June Henley\HenlJu00,RB,4,1998,1998
Junior Coffey\CoffJu00,RB,19,1965,1971
Junior Tautalatasi\TautJu00,RB,7,1986,1989
Justice Hill\HillJu00,RB,3,2019,2019
Justin Davis\DaviJu00,RB,0,2017,2018
Justin Forsett\ForsJu00,RB,35,2008,2016
Justin Hamilton\HamiJu20,RB,1,2006,2008
Justin Jackson\JackJu01,RB,4,2018,2019
Justin Watson\WatsJu00,RB,5,1999,2001
Juwan Thompson\ThomJu01,RB,3,2014,2016
Ka'Deem Carey\CareKa00,RB,3,2014,2016
Kahlil Bell\BellKa00,RB,5,2009,2013
Kalen Ballage\BallKa00,RB,3,2018,2019
Kantroy Barber\BarbKa20,RB,0,1999,1999
Kapri Bibbs\BibbKa00,RB,3,2014,2018
Kareem Huggins\HuggKa00,RB,0,2009,2010
Kareem Hunt\HuntKa00,RB,29,2017,2019
Karim Abdul-Jabbar\AbduKa00,RB,26,1996,2000
Karl Bernard\BernKa00,RB,2,1987,1987
Karlos Williams\WillKa01,RB,4,2015,2015
KaRon Coleman\ColeKa00,RB,2,2000,2002
Kaulana Park\ParkKa20,RB,0,1987,1987
Kay-Jay Harris\HarrKa00,RB,0,2006,2006
Keenan Reynolds\ReynKe00,RB,0,2018,2018
Keiland Williams\WillKe03,RB,5,2010,2012
Keith Elias\EliaKe00,RB,1,1994,1999
Keith Ford\FordKe00,RB,1,2018,2018
Keith Griffin\GrifKe00,RB,14,1984,1988
Keith Henderson\HendKe00,RB,12,1989,1992
Keith Jones\JoneKe00,RB,2,1989,1989
Keith Jones\JoneKe01,RB,11,1989,1992
Keith Joseph\JoseKe00,RB,0,2006,2006
Keith Toston\TostKe00,RB,2,2010,2012
Keith Woodside\WoodKe00,RB,17,1988,1991
Kelly Cook\CookKe20,RB,0,1987,1987
Kelvin Bryant\BryaKe00,RB,24,1986,1990
Ken Brown\BrowKe00,RB,16,1970,1975
Ken Callicutt\CallKe21,RB,0,1978,1982
Ken Grandberry\GranKe00,RB,5,1974,1974
Ken Jenkins\JenkKe00,RB,4,1983,1986
Ken Johnson\JohnKe21,RB,2,1979,1979
Ken Lacy\LacyKe00,RB,2,1984,1987
Ken Oxendine\OxenKe00,RB,6,1998,1999
Ken Simonton\SimoKe00,RB,0,2003,2003
Ken Starch\StarKe20,RB,0,1976,1976
Ken Talton\TaltKe20,RB,0,1980,1980
Ken Thomas\ThomKe01,RB,2,1983,1983
Ken Willard\WillKe02,RB,75,1965,1974
Ken Zachary\ZachKe20,RB,0,1987,1987
Kendall Gaskins\GaskKe00,RB,1,2014,2015
Kendall Hunter\HuntKe00,RB,11,2011,2015
Kenjon Barner\BarnKe00,RB,4,2013,2019
Kenneth Darby\DarbKe00,RB,4,2007,2010
Kenneth Davis\DaviKe00,RB,35,1986,1994
Kenneth Dixon\DixoKe00,RB,5,2016,2018
Kenneth Farrow\FarrKe02,RB,2,2016,2016
Kenny Bynum\BynuKe00,RB,4,1997,2000
Kenny Flowers\FlowKe00,RB,1,1987,1989
Kenny King\KingKe00,RB,25,1979,1985
Kenny Lewis\LewiKe21,RB,1,1980,1983
Kenny Watson\WatsKe00,RB,20,2002,2008
Kenton Keith\KeitKe00,RB,6,2007,2007
Kenyan Drake\DrakKe00,RB,23,2016,2019
Kenyon Cotton\CottKe00,RB,0,1997,1998
Kermit Johnson\JohnKe02,RB,1,1975,1976
Kerrith Whyte\WhytKe00,RB,1,2019,2019
Kerry Carter\CartKe01,RB,0,2003,2004
Kerry Goode\GoodKe00,RB,2,1988,1989
Kerry Porter\PortKe20,RB,0,1987,1990
Kerryon Johnson\JohnKe06,RB,8,2018,2019
Kerwynn Williams\WillKe05,RB,6,2013,2017
Kevan Barlow\BarlKe00,RB,39,2001,2006
Kevin Bouie\BouiKe20,RB,0,1996,1997
Kevin Dudley\DudlKe00,RB,0,2005,2006
Kevin Faulk\FaulKe00,RB,70,1999,2011
Kevin Harmon\HarmKe20,RB,0,1988,1989
Kevin Jones\JoneKe02,RB,29,2004,2008
Kevin Long\LongKe00,RB,23,1977,1981
Kevin Mack\MackKe00,RB,52,1985,1993
Kevin McDougal\McDoKe01,RB,0,2000,2001
Kevin Scott\ScotKe20,RB,0,1988,1989
Kevin Smith\SmitKe02,RB,20,2008,2012
Kevin Willhite\WillKe20,RB,2,1987,1987
Kevin Williams\WillKe23,RB,0,1993,1993
Keylon Kincade\KincKe00,RB,0,2006,2006
Keyvan Jenkins\JenkKe21,RB,1,1987,1988
Khari Blasingame\BlasKh00,RB,0,2019,2019
Khiry Robinson\RobiKh00,RB,7,2013,2016
Ki-Jana Carter\CartKi00,RB,13,1996,2004
Kiero Small\SmalKi00,RB,0,2014,2014
Kim Jones\JoneKi00,RB,0,1976,1979
Kimble Anders\AndeKi00,RB,43,1991,2000
Kirk Jones\JoneKi20,RB,0,1987,1987
Knile Davis\DaviKn00,RB,10,2013,2016
Knowshon Moreno\MoreKn00,RB,35,2009,2014
Kolby Smith\SmitKo00,RB,4,2007,2009
Kory Chapman\ChapKo00,RB,0,2005,2005
Kory Sheets\SheeKo00,RB,0,2009,2014
Kregg Lumpkin\LumpKr00,RB,3,2008,2012
Kyle Eckel\EckeKy00,RB,1,2007,2009
Kyle Johnson\JohnKy00,RB,4,2004,2007
LaBrandon Toefield\ToefLa00,RB,5,2003,2007
Lache Seastrunk\SeasLa00,RB,,2014,2014
LaDainian Tomlinson+\TomlLa00,RB,157,2001,2011
LaDarius Perkins\PerkLa00,RB,,2014,2014
Ladell Betts\BettLa00,RB,37,2002,2010
Lakei Heimuli\HeimLa20,RB,1,1987,1987
Lamar Gordon\GordLa00,RB,9,2002,2006
Lamar Miller\MillLa01,RB,47,2012,2018
Lamar Smith\SmitLa00,RB,36,1994,2003
LaMichael James\JameLa00,RB,2,2012,2015
LaMont Jordan\JordLa00,RB,35,2001,2009
Lamont Warren\WarrLa00,RB,18,1994,2002
Lance Ball\BallLa00,RB,7,2008,2012
Lance Dunbar\DunbLa00,RB,9,2012,2017
LaRod Stephens-Howling\StepLa00,RB,10,2009,2013
Larry Barnes\BarnLa00,RB,2,1977,1979
Larry Bowie\BowiLa00,RB,4,1996,1999
Larry Brinson\BrinLa00,RB,1,1977,1980
Larry Brown\BrowLa01,RB,91,1969,1976
Larry Canada\CanaLa00,RB,5,1978,1981
Larry Collins\CollLa20,RB,1,1978,1980
Larry Conjar\ConjLa00,RB,2,1967,1970
Larry Cowan\CowaLa20,RB,0,1982,1982
Larry Croom\CrooLa00,RB,1,2004,2004
Larry Crowe\CrowLa00,RB,0,1972,1975
Larry Csonka+\CsonLa00,RB,88,1968,1979
Larry Emery\EmerLa20,RB,0,1987,1987
Larry Heater\HeatLa00,RB,3,1980,1983
Larry Johnson\JohnLa00,RB,56,2003,2011
Larry Kinnebrew\KinnLa00,RB,28,1983,1990
Larry Krause\KrauLa00,RB,1,1970,1974
Larry Mason\MasoLa00,RB,4,1987,1988
Larry Moriarty\MoriLa00,RB,15,1983,1988
Larry Morris\MorrLa21,RB,0,1987,1987
Larry Ned\NedxLa00,RB,0,2003,2004
Larry Poole\PoolLa00,RB,8,1975,1978
Larry Robinson\RobiLa00,RB,0,1973,1973
Larry Schreiber\SchrLa00,RB,24,1971,1976
Larry Smith\SmitLa02,RB,35,1969,1974
Larry Stegent\StegLa00,RB,0,1971,1971
Larry Todd\ToddLa00,RB,11,1965,1970
Larry Watkins\WatkLa00,RB,19,1969,1977
Lars Tate\TateLa00,RB,8,1988,1990
LaRue Harrington\HarrLa20,RB,0,1980,1980
Latavius Murray\MurrLa00,RB,38,2014,2019
Laurence Maroney\MaroLa00,RB,27,2006,2010
Lavale Thomas\ThomLa20,RB,1,1987,1988
Laverne Smith\SmitLa01,RB,1,1977,1977
Lavon Coleman\ColeLa02,RB,0,2018,2018
Lawrence Gaines\GainLa00,RB,9,1976,1979
Lawrence McCutcheon\McCuLa00,RB,85,1972,1981
Lawrence Phillips\PhilLa00,RB,11,1996,1999
Lawrence Ricks\RickLa20,RB,0,1983,1984
Le'Ron McClain\McClLe00,RB,13,2007,2013
Le'Shai Maston\MastLe00,RB,3,1993,1998
Le'Veon Bell\BellLe00,RB,65,2013,2019
Lee Bouggess\BougLe00,RB,12,1970,1973
Lee Rouson\RousLe00,RB,8,1985,1991
Lee Suggs\SuggLe00,RB,8,2003,2006
Lee Weigel\WeigLe20,RB,0,1987,1987
Lee White\WhitLe00,RB,5,1968,1972
Leeland McElroy\McElLe00,RB,5,1996,1997
LeGarrette Blount\BlouLe00,RB,46,2010,2018
LenDale White\WhitLe01,RB,15,2006,2009
Lennox Gordon\GordLe00,RB,0,1999,2000
Lenvil Elliott\ElliLe00,RB,32,1973,1981
Leo Hayden\HaydLe00,RB,0,1971,1973
Leon Bright\BrigLe00,RB,4,1981,1985
Leon Burns\BurnLe00,RB,3,1971,1972
Leon Crosswhite\CrosLe00,RB,1,1973,1974
Leon Johnson\JohnLe00,RB,12,1997,2003
Leon McQuay\McQuLe00,RB,4,1974,1976
Leon Neal\NealLe20,RB,0,1997,1997
Leon Perry\PerrLe00,RB,5,1980,1982
Leon Washington\WashLe00,RB,34,2006,2014
Leonard Fournette\FourLe00,RB,21,2017,2019
Leonard Henry\HenrLe20,RB,1,2004,2004
Leonard Moore\MoorLe20,RB,0,1987,1987
Leonard Russell\RussLe00,RB,28,1991,1996
Leonard Weaver\WeavLe00,RB,11,2005,2010
Leonard Williams\WillLe21,RB,0,1987,1987
Leroy Harris\HarrLe01,RB,24,1977,1982
Leroy Hoard\HoarLe00,RB,51,1990,1999
Leroy Kelly+\KellLe00,RB,102,1964,1973
Leroy Sledge\SledLe00,RB,1,1971,1971
Leroy Thompson\ThomLe00,RB,19,1991,1996
Les Goodman\GoodLe00,RB,2,1973,1974
Les Josephson\JoseLe00,RB,55,1964,1974
Les Shy\ShyxLe00,RB,8,1966,1970
Les Strayhorn\StraLe00,RB,2,1973,1974
LeSean McCoy\McCoLe01,RB,104,2009,2019
LeShon Johnson\JohnLe01,RB,11,1994,1999
LeShun Daniels\DaniLe00,RB,0,2017,2017
Lewis Jolley\JollLe00,RB,1,1972,1973
Lewis Tillman\TillLe00,RB,18,1989,1995
Lex Hilliard\HillLe00,RB,3,2009,2012
Lincoln Minor\MinoLi00,RB,0,1973,1973
Lionel Gates\GateLi00,RB,0,2007,2007
Lionel Vital\VitaLi20,RB,3,1987,1987
Lloyd Pate\PateLl00,RB,2,1970,1970
Lonnie Perrin\PerrLo00,RB,11,1976,1979
Lonyae Miller\MillLo00,RB,0,2010,2012
Lorenzo Booker\BookLo00,RB,4,2007,2011
Lorenzo Hampton\HampLo00,RB,27,1985,1989
Lorenzo Taliaferro\TaliLo00,RB,3,2014,2016
Lorenzo White\WhitLo00,RB,48,1988,1995
Louie Giammona\GiamLo00,RB,10,1976,1982
Louis Carter\CartLo00,RB,10,1975,1978
Louis Jackson\JackLo00,RB,1,1981,1981
Louis Rankin\RankLo00,RB,0,2009,2009
Lousaka Polite\PoliLo00,RB,4,2004,2012
Luke Lawton\LawtLu00,RB,0,2005,2009
Lydell Carr\CarrLy20,RB,0,1989,1989
Lydell Mitchell\MitcLy00,RB,101,1972,1980
Lynell Hamilton\HamiLy20,RB,1,2008,2009
Lynn Cain\CainLy00,RB,28,1979,1985
MacArthur Lane\LaneMa00,RB,75,1968,1978
Mack Boatner\BoatMa20,RB,0,1986,1986
Mack Brown\BrowMa02,RB,1,2016,2017
Mack Herron\HerrMa01,RB,23,1973,1975
Madre Hill\HillMa20,RB,0,1999,2002
Major Everett\EverMa00,RB,1,1983,1987
Malcolm Brown\BrowMa03,RB,6,2015,2019
Manfred Moore\MoorMa00,RB,1,1974,1977
Marc Logan\LogaMa00,RB,25,1987,1997
Marcel Shipp\ShipMa00,RB,18,2001,2007
Marcus Allen+\AlleMa00,RB,142,1982,1997
Marcus Dupree\DuprMa00,RB,1,1990,1991
Marcus Holliday\HollMa20,RB,0,1996,1996
Marcus Lattimore\LattMa00,RB,,2014,2014
Marcus Mailei\MailMa00,RB,0,2009,2009
Marcus Mason\MasoMa00,RB,1,2009,2009
Marcus Murphy\MurpMa03,RB,2,2015,2018
Marcus Thomas\ThomMa01,RB,0,2008,2008
Marcus Wilson\WilsMa20,RB,0,1991,1995
Mario Bates\BateMa00,RB,22,1994,2000
Mario Fannin\FannMa00,RB,0,2012,2012
Marion Barber\BarbMa00,RB,5,1982,1988
Marion Barber\BarbMa01,RB,45,2005,2011
Marion Butts\ButtMa00,RB,39,1989,1995
Marion Grice\GricMa00,RB,0,2014,2014
Mark Bailey\BailMa00,RB,6,1977,1978
Mark Green\GreeMa00,RB,6,1989,1992
Mark Higgs\HiggMa00,RB,23,1988,1995
Mark Ingram\IngrMa01,RB,70,2011,2019
Mark Kellar\KellMa00,RB,0,1976,1978
Mark Konecny\KoneMa20,RB,1,1987,1988
Mark van Eeghen\VanEMa00,RB,76,1974,1983
Mark Walton\WaltMa00,RB,3,2018,2019
Marlion Jackson\JackMa01,RB,0,2006,2006
Marlon Barnes\BarnMa00,RB,0,2000,2000
Marlon Mack\MackMa00,RB,19,2017,2019
Marquis Weeks\WeekMa00,RB,0,2006,2006
Marrio Grier\GrieMa00,RB,2,1996,1997
Marsh White\WhitMa00,RB,3,1975,1976
Marshall Faulk+\FaulMa00,RB,166,1994,2005
Marshawn Lynch\LyncMa00,RB,90,2007,2019
Martin Sartin\SartMa20,RB,0,1987,1987
Marv Hubbard\HubbMa00,RB,52,1969,1977
Marvin Allen\AlleMa01,RB,1,1988,1991
Marvin Lewis\LewiMa22,RB,0,1982,1982
Matt Breida\BreiMa00,RB,16,2017,2019
Matt Forte\FortMa00,RB,99,2008,2017
Matt Jones\JoneMa04,RB,10,2015,2017
Matt Lawrence\LawrMa00,RB,0,2009,2009
Matt Snell\SnelMa00,RB,50,1964,1972
Matt Suhey\SuheMa00,RB,40,1980,1989
Matthew Dayes\DayeMa00,RB,0,2017,2018
Matthew Tucker\TuckMa00,RB,0,2013,2014
Maurice Carthon\CartMa00,RB,14,1985,1992
Maurice Hicks\HickMa00,RB,8,2004,2008
Maurice Jones-Drew\DrewMa00,RB,84,2006,2014
Maurice Morris\MorrMa00,RB,35,2002,2011
Maurice Smith\SmitMa00,RB,6,2000,2002
Maurice Turner\TurnMa21,RB,0,1984,1987
Max Anderson\AndeMa00,RB,6,1968,1969
Mazio Royster\RoysMa00,RB,1,1992,1994
Mel Bratton\BratMe00,RB,4,1989,1990
Mel Carver\CarvMe00,RB,8,1982,1987
Mel Farr\FarrMe00,RB,46,1967,1973
Mel Farr\FarrMe20,RB,0,1989,1989
Melvin Gordon\GordMe00,RB,42,2015,2019
Mercury Morris\MorrMe00,RB,55,1969,1976
Merril Hoge\HogeMe00,RB,42,1987,1994
Mewelde Moore\MoorMe00,RB,33,2004,2012
Michael Basnight\BasnMi00,RB,3,1999,1999
Michael Bates\BateMi00,RB,6,1993,2003
Michael Bennett\BennMi00,RB,38,2001,2010
Michael Blair\BlaiMi00,RB,0,1998,1998
Michael Bush\BushMi00,RB,26,2008,2014
Michael Clemons\ClemMi20,RB,0,1987,1987
Michael Cox\CoxxMi00,RB,0,2013,2014
Michael Ford\FordMi00,RB,0,2013,2013
Michael Gunter\GuntMi20,RB,0,1984,1984
Michael Haddix\HaddMi00,RB,22,1983,1990
Michael Hicks\HickMi20,RB,1,1996,1997
Michael Hill\HillMi00,RB,0,2013,2014
Michael LeBlanc\LeBlMi20,RB,1,1987,1987
Michael Morton\MortMi00,RB,1,1982,1987
Michael Pittman\PittMi00,RB,60,1998,2008
Michael Smith\SmitMi01,RB,0,2012,2014
Michael Turner\TurnMi00,RB,62,2004,2012
Michael Wiley\WileMi00,RB,4,2000,2002
Michael Williams\WillMi01,RB,5,1983,1987
Mickey Fitzgerald\FitzMi20,RB,0,1981,1981
Mickey Zofko\ZofkMi00,RB,2,1971,1974
Mike Adamle\AdamMi01,RB,12,1971,1976
Mike Alstott\AlstMi00,RB,57,1996,2006
Mike Anderson\AndeMi00,RB,39,2000,2007
Mike Archie\ArchMi00,RB,0,1996,1998
Mike Augustyniak\AuguMi00,RB,11,1981,1983
Mike Bell\BellMi00,RB,12,2006,2010
Mike Boone\BoonMi00,RB,2,2018,2019
Mike Brunson\BrunMi00,RB,0,1970,1970
Mike Campbell\CampMi00,RB,0,1968,1968
Mike Cloud\ClouMi00,RB,6,1999,2005
Mike Collier\CollMi00,RB,4,1975,1979
Mike Cox\Cox_Mi20,RB,1,2008,2012
Mike Crawford\CrawMi20,RB,0,1987,1987
Mike Davis\DaviMi01,RB,10,2015,2019
Mike Dennis\DennMi00,RB,2,1968,1969
Mike Dingle\DingMi00,RB,1,1991,1991
Mike Dulaney\DulaMi00,RB,0,1995,1998
Mike Esposito\EspoMi00,RB,4,1976,1978
Mike Franckowiak\FranMi00,RB,1,1975,1978
Mike Garrett\GarrMi00,RB,77,1966,1973
Mike Gillislee\GillMi00,RB,10,2013,2018
Mike Goodson\GoodMi00,RB,7,2009,2013
Mike Green\GreeMi00,RB,2,2000,2002
Mike Guman\GumaMi00,RB,27,1980,1988
Mike Hagen\HageMi20,RB,0,1987,1987
Mike Hart\HartMi00,RB,3,2008,2010
Mike Hogan\HogaMi00,RB,19,1976,1980
Mike Hull\HullMi00,RB,3,1968,1974
Mike James\JameMi00,RB,2,2013,2016
Mike Meade\MeadMi00,RB,3,1982,1985
Mike Morgan\MorgMi21,RB,0,1978,1978
Mike Oliphant\OlipMi00,RB,2,1988,1991
Mike Panepinto\PaneMi20,RB,0,1987,1987
Mike Pringle\PrinMi20,RB,0,1990,1990
Mike Pruitt\PruiMi00,RB,71,1976,1986
Mike Reed\ReedMi00,RB,0,1998,1998
Mike Richardson\RichMi00,RB,6,1969,1971
Mike Rozier\RoziMi00,RB,38,1985,1991
Mike Strachan\StraMi00,RB,17,1975,1980
Mike Thomas\ThomMi00,RB,53,1975,1980
Mike Tolbert\TolbMi00,RB,37,2008,2017
Mike Varajon\VaraMi20,RB,1,1987,1987
Mike Voight\VoigMi00,RB,0,1977,1977
Mikel Leshoure\LeshMi00,RB,5,2012,2013
Miles Sanders\SandMi01,RB,9,2019,2019
Moe Williams\WillMo00,RB,31,1996,2005
Molly McGee\McGeMo00,RB,0,1974,1974
Monroe Eley\EleyMo00,RB,3,1975,1977
Montario Hardesty\HardMo00,RB,4,2011,2012
Montee Ball\BallMo00,RB,8,2013,2014
Montell Owens\OwenMo01,RB,2,2006,2014
Morris LaGrand\LaGrMo00,RB,0,1975,1975
Moses Denson\DensMo00,RB,8,1974,1975
Mosi Tatupu\TatuMo00,RB,24,1978,1991
Mossis Madu\MaduMo00,RB,1,2011,2011
Musa Smith\SmitMu00,RB,6,2003,2007
Myles Gaskin\GaskMy00,RB,1,2019,2019
Najeh Davenport\DaveNa00,RB,20,2002,2008
Napoleon Kaufman\KaufNa00,RB,43,1995,2000
Napoleon McCallum\McCaNa00,RB,6,1986,1994
Nate Eachus\EachNa00,RB,0,2012,2012
Nate Johnson\JohnNa22,RB,0,1987,1987
Nate Rivers\RiveNa20,RB,0,1980,1980
Nate Simpson\SimpNa20,RB,3,1977,1979
Nathan Poole\PoolNa00,RB,4,1979,1987
Nathan Wonsley\WonsNa00,RB,3,1986,1986
Natrone Means\MeanNa00,RB,42,1993,2000
Naufahu Tahi\TahiNa00,RB,1,2007,2010
Neal Anderson\AndeNe00,RB,69,1986,1993
Newton Williams\WillNe20,RB,1,1982,1983
Nick Bawden\BawdNi00,RB,0,2019,2019
Nick Bell\BellNi00,RB,8,1991,1993
Nick Chubb\ChubNi00,RB,18,2018,2019
Nick Eddy\EddyNi00,RB,8,1968,1972
Nick Giaquinto\GiaqNi00,RB,10,1980,1983
Nick Goings\GoinNi00,RB,18,2001,2008
Nick Kowgios\KowgNi20,RB,0,1987,1987
Nick Maddox\MaddNi20,RB,0,2003,2003
Nicky Sualua\SualNi00,RB,0,1997,1998
Noah Herron\HerrNo00,RB,3,2005,2006
Noe Gonzalez\GonzNo20,RB,0,1974,1974
Norm Bulaich\BulaNo00,RB,59,1970,1979
Norm Granger\GranNo20,RB,0,1984,1987
Nuu Faaola\FaaoNu00,RB,0,1986,1989
Nyheim Hines\HineNy00,RB,12,2018,2019
O.J. Simpson+\SimpO.00,RB,116,1969,1979
Obafemi Ayanbadejo\AyanOb00,RB,9,1998,2006
Odell Lawson\LawsOd00,RB,2,1970,1974
Olandis Gary\GaryOl00,RB,17,1999,2003
Olaniyi Sobomehin\SoboOl00,RB,0,2008,2008
Oliver Ross\RossOl00,RB,2,1973,1976
Onterio McCalebb\McCaOn00,RB,0,2014,2014
Onterrio Smith\SmitOn00,RB,14,2003,2004
Orleans Darkwa\DarkOr00,RB,6,2014,2017
Oscar Dragon\DragOs00,RB,0,1972,1972
Oscar Gray\GrayOs20,RB,0,1996,1996
Oscar Reed\ReedOs00,RB,28,1968,1975
Oscar Smith\SmitOs20,RB,0,1986,1986
Ostell Miles\MileOs00,RB,1,1992,1993
Otis Armstrong\ArmsOt00,RB,59,1973,1980
Otis Wonsley\WonsOt00,RB,1,1981,1985
Ottis Anderson\AndeOt00,RB,98,1979,1992
Owen Gill\GillOw20,RB,4,1985,1987
Owen Marecic\MareOw00,RB,0,2011,2012
Owen Schmitt\SchmOw00,RB,1,2008,2012
P.J. Daniels\DaniP.00,RB,0,2007,2007
P.J. Pope\PopeP.20,RB,1,2006,2008
Pat Chaffey\ChafPa00,RB,3,1991,1993
Pat Franklin\FranPa21,RB,0,1986,1987
Pat McNeil\McNePa00,RB,1,1976,1977
Pat Moriarty\MoriPa20,RB,0,1979,1979
Patrick Cobbs\CobbPa00,RB,4,2006,2010
Patrick Collins\CollPa20,RB,0,1988,1988
Patrick Egu\EguxPa00,RB,0,1989,1989
Patrick Laird\LairPa00,RB,2,2019,2019
Paul Dunn\DunnPa20,RB,0,1970,1970
Paul Frazier\FrazPa00,RB,1,1989,1989
Paul Gipson\GipsPa00,RB,6,1969,1973
Paul Hofer\HofePa00,RB,26,1976,1981
Paul Ott Carruth\CarrPa00,RB,7,1986,1989
Paul Palmer\PalmPa00,RB,14,1987,1989
Paul Perkins\PerkPa00,RB,5,2016,2019
Paul Robinson\RobiPa00,RB,31,1968,1973
Paul Shields\ShiePa00,RB,0,1999,2000
Paul Smith\SmitPa00,RB,3,2000,2007
Paul White\WhitPa00,RB,0,1970,1971
Perry Harrington\HarrPe00,RB,9,1980,1985
Perry Lee Dunn\DunnPe00,RB,9,1964,1969
Perry Williams\WillPe01,RB,6,1969,1974
Pete Banaszak\BanaPe00,RB,49,1966,1978
Pete Johnson\JohnPe00,RB,59,1977,1984
Pete Larson\LarsPe00,RB,4,1967,1968
Pete Roth\RothPe20,RB,0,1987,1987
Pete Tatman\TatmPe20,RB,0,1967,1967
Pete Van Valkenberg\VanVPe00,RB,0,1973,1974
Peter Tuipulotu\TuipPe20,RB,0,1992,1992
Peyton Barber\BarbPe01,RB,13,2016,2019
Peyton Hillis\HillPe00,RB,23,2008,2014
Phil Francis\FranPh00,RB,3,1979,1980
Phil Frye\FryePh20,RB,0,1987,1987
Phillip Lindsay\LindPh00,RB,15,2018,2019
Phillip Tanner\TannPh00,RB,2,2011,2014
Pierre Thomas\ThomPi00,RB,52,2007,2015
Po James\JamePo00,RB,17,1972,1975
Pooh Bear Williams\WillPo00,RB,0,1998,1998
Preston Johnson\JohnPr00,RB,0,1968,1968
Preston Pearson\PearPr00,RB,72,1967,1980
Preston Ridlehuber\RidlPr00,RB,1,1966,1969
Priest Holmes\HolmPr00,RB,94,1997,2007
Qadree Ollison\OlliQa00,RB,0,2019,2019
Quentin Griffin\GrifQu00,RB,6,2003,2004
Quentin Walker\WalkQu20,RB,0,1984,1984
Quincy Wilson\WilsQu00,RB,0,2006,2007
Quinn Johnson\JohnQu00,RB,0,2009,2013
Quinn Porter\PortQu00,RB,0,2011,2011
Quinton Ganther\GantQu00,RB,3,2006,2010
R.C. Gamble\GambR.00,RB,4,1968,1969
R.J. Bowers\BoweRJ00,RB,1,2001,2003
Rabih Abdullah\AbduRa00,RB,3,1999,2004
Rafael Cooper\CoopRa00,RB,0,2002,2002
Raheem Mostert\MostRa00,RB,10,2015,2019
Rajion Neal\NealRa01,RB,,2014,2014
Ralph Kurek\KureRa00,RB,5,1965,1970
Ralph Nelson\NelsRa00,RB,4,1975,1976
